objectid,parentid,item_code,title,commonname,class,order,suborder,family,bone_type,notes,location,subject,cabinet,source,rights,rightsstatement,type,format,group,display_template,language,object_location,image_small,image_thumb,
oc046,,SC 1495,Necturus maculosus,Mudpuppy ,Amphibia,Caudata,Salamandroidea,Proteidae,Skull ,"Specimen in glass casing, skull disarticulated",,Salamander;Amphibian;Skull;Disarticulated,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc047,oc046,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1495.png,/objects/small/sc1495_sm.jpg,/objects/thumbs/sc1495_th.jpg,
oc048,oc046,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1495r.png,/objects/small/sc1495r_sm.jpg,/objects/thumbs/sc1495r_th.jpg,
oc049,,SC 1496,Necturus maculosus,Mudpuppy ,Amphibia,Caudata,Salamandroidea,Proteidae,Skull ,"Specimen in glass casing, skull disarticulated",,Salamander;Amphibian;Skull;Disarticulated,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc050,oc049,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1496.png,/objects/small/sc1496_sm.jpg,/objects/thumbs/sc1496_th.jpg,
oc051,oc049,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1496r.png,/objects/small/sc1496r_sm.jpg,/objects/thumbs/sc1496r_th.jpg,
oc052,,SC 1497,Necturus maculosus,Mudpuppy ,Amphibia,Caudata,Salamandroidea,Proteidae,Skull ,"Specimen in glass casing, skull disarticulated",,Salamander;Amphibian;Skull;Disarticulated,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc053,oc052,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1497.png,/objects/small/sc1497_sm.jpg,/objects/thumbs/sc1497_th.jpg,
oc054,oc052,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1497r.png,/objects/small/sc1497r_sm.jpg,/objects/thumbs/sc1497r_th.jpg,
oc055,,SC 1498,Necturus maculosus,Mudpuppy ,Amphibia,Caudata,Salamandroidea,Proteidae,Skull ,"Specimen in glass casing, skull disarticulated",,Salamander;Amphibian;Skull;Disarticulated,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc056,oc055,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1498.png,/objects/small/sc1498_sm.jpg,/objects/thumbs/sc1498_th.jpg,
oc057,oc055,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1498r.png,/objects/small/sc1498r_sm.jpg,/objects/thumbs/sc1498r_th.jpg,
oc058,,SC 1499,Rana sp. ,European Grass Frog ,Amphibia,Anura, Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc059,oc058,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1499.png,/objects/small/sc1499_sm.jpg,/objects/thumbs/sc1499_th.jpg,
oc060,oc058,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1499r.png,/objects/small/sc1499r_sm.jpg,/objects/thumbs/sc1499r_th.jpg,
oc061,,SC 1500,Rana sp. ,European Grass Frog ,Amphibia,Anura, Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc062,oc061,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1500.png,/objects/small/sc1500_sm.jpg,/objects/thumbs/sc1500_th.jpg,
oc063,oc061,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1500r.png,/objects/small/sc1500r_sm.jpg,/objects/thumbs/sc1500r_th.jpg,
oc064,,SC 1501,Rana sp. ,European Grass Frog ,Amphibia,Anura, Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc065,oc064,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1501.png,/objects/small/sc1501_sm.jpg,/objects/thumbs/sc1501_th.jpg,
oc066,oc064,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1501r.png,/objects/small/sc1501r_sm.jpg,/objects/thumbs/sc1501r_th.jpg,
oc067,,SC 1502,Rana sp. ,European Grass Frog ,Amphibia,Anura,Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc068,oc067,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1502.png,/objects/small/sc1502_sm.jpg,/objects/thumbs/sc1502_th.jpg,
oc069,oc067,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1502r.png,/objects/small/sc1502r_sm.jpg,/objects/thumbs/sc1502r_th.jpg,
